Start Log	Run: 66	Date: 5/10/2024   Time: 11:58:37
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
1707.141, 0.7, 757.92, 5982161.9, 
1712.078, 0.5, 759.43, 5982161.78, 
1717.078, 0.6, 760.93, 5982161.67, 
1722.094, 0.6, 762.39, 5982161.54, 
1727.094, 0.5, 763.94, 5982161.35, 
1732.109, -0.2, 765.45, 5982161.26, 
1737.141, 0.7, 766.95, 5982161.18, 
1742.125, 0.2, 768.57, 5982161.04, 
1747.156, -0.1, 770.15, 5982160.92, 
1752.125, -0.1, 771.48, 5982160.75, 
1757.172, 0.4, 773, 5982160.69, 
1762.141, 0.3, 774.38, 5982160.56, 
1767.156, 0.5, 775.96, 5982160.41, 
1772.156, -0.6, 777.37, 5982160.31, 
1777.172, 0.6, 778.58, 5982160.22, 
1782.188, 0.2, 779.65, 5982160.11, 
1787.203, 0.6, 780.94, 5982160.03, 
1792.188, -0.5, 782.25, 5982159.95, 
1797.203, 0.4, 783.61, 5982159.8, 
1802.234, 0.3, 784.68, 5982159.75, 
1807.25, 0.5, 786.27, 5982159.6, 
1812.297, 0.4, 787.55, 5982159.49, 
1817.234, 0.5, 788.8, 5982159.39, 
1822.234, 0.2, 790.14, 5982159.27, 
1827.234, 0.7, 791.49, 5982159.18, 
1832.25, 0.1, 792.94, 5982159.06, 
1837.297, -0.1, 794.2, 5982158.97, 
1842.266, 0.1, 795.66, 5982158.83, 
1847.234, 0.5, 796.81, 5982158.75, 
1852.266, -0.6, 798.17, 5982158.62, 
1857.297, 0, 799.52, 5982158.51, 
1862.234, 0.4, 800.81, 5982158.45, 
1867.25, 0, 802.22, 5982158.32, 
1872.281, 1, 803.58, 5982158.21, 
1877.234, 0.5, 804.74, 5982158.09, 
1882.234, -0.2, 806.03, 5982158.01, 
1887.281, 0.7, 807.29, 5982157.9, 
1892.234, 0.2, 808.55, 5982157.79, 
1897.234, 0.5, 809.89, 5982157.67, 
1902.266, 0.7, 810.88, 5982157.59, 
1907.25, 0.5, 811.93, 5982157.5, 
1912.234, 0.2, 813.32, 5982157.37, 
1917.234, 0.7, 814.47, 5982157.27, 
1922.25, 0.2, 815.68, 5982157.21, 
1927.266, 0.1, 816.94, 5982157.12, 
1932.234, 0.5, 817.78, 5982157.04, 
1937.266, 0.3, 819.19, 5982156.93, 
1942.359, -0.2, 820.11, 5982156.85, 
1947.25, 0.2, 821.22, 5982156.78, 
1952.266, 0.2, 822.14, 5982156.69, 
1957.438, 0, 823.15, 5982156.6, 
1962.297, 0.1, 824.39, 5982156.53, 
1967.313, 0.1, 825.39, 5982156.41, 
1972.484, -0.3, 826.72, 5982156.33, 
1977.344, 0.5, 827.64, 5982156.22, 
1982.328, 0.4, 828.75, 5982156.15, 
1987.359, 0, 829.82, 5982156.09, 
1992.375, -0.2, 830.88, 5982155.95, 
1997.328, 0.1, 831.92, 5982155.88, 
2002.328, 0.2, 833.05, 5982155.8, 
2007.359, 0, 834.06, 5982155.73, 
2012.328, 0, 834.91, 5982155.67, 
2017.344, 0, 835.82, 5982155.6, 
2022.359, 0.1, 836.97, 5982155.48, 
2027.344, -0.8, 837.59, 5982155.44, 
2032.359, 0.4, 838.5, 5982155.36, 
2037.391, -0.4, 839.47, 5982155.27, 
2042.422, 0.5, 840.55, 5982155.2, 
2047.375, 0.4, 841.48, 5982155.15, 
2052.391, 0.9, 842.43, 5982155.06, 
2057.359, 0.1, 843.37, 5982154.97, 
2062.359, -0.3, 844.32, 5982154.89, 
2067.391, 0.2, 845.25, 5982154.87, 
2072.359, 0.2, 846.11, 5982154.74, 
2077.422, 0.3, 847.11, 5982154.68, 
2082.359, 0, 847.88, 5982154.6, 
2087.375, 0, 848.78, 5982154.53, 
2092.406, -0.1, 849.73, 5982154.45, 
2097.359, 0.6, 850.65, 5982154.37, 
2102.359, 0.5, 851.5, 5982154.34, 
2107.406, 0.3, 852.25, 5982154.26, 
2112.359, 0.4, 853.23, 5982154.2, 
2117.359, 0.6, 854.02, 5982154.07, 
2122.375, 0.5, 855.01, 5982154.08, 
2127.375, 0.2, 855.91, 5982153.94, 
2132.375, 0.4, 856.79, 5982153.92, 
2137.406, 0.2, 857.67, 5982153.83, 
2142.422, 0.9, 858.53, 5982153.76, 
2147.391, -0.3, 859.17, 5982153.68, 
2152.406, 0.6, 860.02, 5982153.6, 
2157.422, 0.6, 860.94, 5982153.58, 
2162.484, -0.3, 861.76, 5982153.5, 
2167.438, 0, 862.57, 5982153.4, 
2172.453, 0.6, 863.42, 5982153.34, 
2177.469, 0.3, 864.28, 5982153.25, 
2182.531, -0.6, 865.01, 5982153.19, 
2187.5, 1, 865.89, 5982153.18, 
2192.516, -0.4, 866.62, 5982153.07, 
2197.547, 1, 867.48, 5982153, 
2202.578, 0.6, 868.44, 5982152.95, 
2207.531, -0.4, 869.15, 5982152.91, 
2212.547, 0.4, 869.9, 5982152.87, 
2217.563, 0.1, 871.05, 5982152.74, 
2222.609, 0.6, 871.7, 5982152.72, 
2227.563, 0.3, 872.44, 5982152.64, 
2232.578, 0.5, 873.27, 5982152.52, 
2237.578, 0.4, 873.99, 5982152.52, 
2242.625, -0.4, 874.67, 5982152.46, 
2247.609, -0.4, 875.49, 5982152.33, 
2252.625, 0.2, 876.44, 5982152.32, 
2257.641, -0.4, 877.12, 5982152.24, 
2262.688, 0.6, 877.94, 5982152.21, 
2267.719, 0.7, 878.75, 5982152.1, 
2272.656, 0.6, 879.57, 5982152.04, 
2277.672, 0.3, 880.26, 5982152.02, 
2282.672, 0, 881.16, 5982151.93, 
2287.688, 1.1, 881.96, 5982151.85, 
2292.734, 0.1, 882.65, 5982151.79, 
2297.703, 0.5, 883.32, 5982151.77, 
2302.75, 0.3, 884.09, 5982151.68, 
2307.703, 0.4, 884.84, 5982151.63, 
2312.719, 0.7, 885.56, 5982151.55, 
2317.75, 0, 886.31, 5982151.54, 
2322.797, 0.6, 887.04, 5982151.41, 
2327.734, 0.7, 888.01, 5982151.35, 
2332.734, 0.1, 888.06, 5982151.37, 
2337.797, 0.3, 888.64, 5982151.33, 
2342.75, -0.5, 888.92, 5982151.3, 
2347.75, 0.5, 889.67, 5982151.24, 
2352.781, 0, 890.16, 5982151.16, 
2357.75, -0.6, 890.8, 5982151.15, 
2362.75, -0.1, 891.34, 5982151.12, 
2367.781, 0, 892.11, 5982151.07, 
2372.766, -0.3, 892.78, 5982151.02, 
2377.781, 0.3, 893.28, 5982150.93, 
2382.813, 0.2, 894.04, 5982150.89, 
2387.844, 0, 894.54, 5982150.8, 
2392.797, -0.3, 895.17, 5982150.81, 
2397.813, 0.2, 895.88, 5982150.75, 
2402.844, 0, 896.5, 5982150.67, 
2407.875, 0.1, 897.13, 5982150.65, 
2412.844, -0.5, 897.75, 5982150.59, 
2417.875, -0.1, 898.44, 5982150.52, 
2422.891, 0.1, 899.08, 5982150.48, 
2427.859, 0.2, 899.59, 5982150.46, 
2432.875, -0.3, 900.18, 5982150.4, 
2437.859, 0, 900.91, 5982150.35, 
2442.875, -0.2, 901.43, 5982150.29, 
2447.891, 0.1, 902.07, 5982150.26, 
2452.891, 0.4, 902.66, 5982150.17, 
2457.922, -0.4, 903.32, 5982150.12, 
2462.906, 0.1, 903.96, 5982150.12, 
2467.922, -0.2, 904.25, 5982150.09, 
2472.938, -0.3, 904.98, 5982150.02, 
2477.953, -0.1, 905.53, 5982149.96, 
2483.016, -0.2, 906.01, 5982149.87, 
2487.969, 0.5, 906.6, 5982149.87, 
2492.984, 0.2, 907.36, 5982149.82, 
2498, 0.2, 907.92, 5982149.76, 
2503.047, 0, 907.92, 5982149.78, 
2508, 0, 908.5, 5982149.7, 
2513.016, 0.2, 908.86, 5982149.68, 
2518.031, 0.1, 909.56, 5982149.64, 
2523.047, 0.1, 910.14, 5982149.62, 
2528.094, 0.3, 910.54, 5982149.55, 
2533.047, -0.1, 911, 5982149.49, 
2538.047, -0.3, 911.62, 5982149.47, 
2543.078, 0, 912.08, 5982149.43, 
2548.063, 0.3, 912.77, 5982149.36, 
2553.078, 0.4, 913.3, 5982149.37, 
2558.094, 0.4, 913.67, 5982149.28, 
2563.141, -0.2, 913.96, 5982149.25, 
2568.094, 0.4, 914.46, 5982149.24, 
2573.109, 0.4, 914.99, 5982149.21, 
2578.125, -0.1, 915.31, 5982149.14, 
2583.141, -0.2, 915.79, 5982149.08, 
2588.172, 0.4, 916.35, 5982149.1, 
2593.141, 0.1, 916.82, 5982149.01, 
2598.141, 0.5, 917.5, 5982148.98, 
2603.188, 0.4, 917.96, 5982148.94, 
2608.219, 1, 918.48, 5982148.92, 
2613.172, 0, 918.85, 5982148.83, 
2618.203, 0, 919.44, 5982148.83, 
2623.219, -0.2, 919.84, 5982148.8, 
2628.188, 0.5, 920.38, 5982148.76, 
2633.203, 0.2, 920.88, 5982148.73, 
2638.234, 0.2, 921.3, 5982148.69, 
2643.266, 0.3, 921.67, 5982148.65, 
