Logging for SGP30
2024-05-01 07:06:58 Raw H2 11355 	Raw Ethanol 20401
2024-05-01 07:06:59 Raw H2 11356 	Raw Ethanol 20493
2024-05-01 07:07:00 Raw H2 11362 	Raw Ethanol 20357
2024-05-01 07:07:01 Raw H2 11364 	Raw Ethanol 20407
2024-05-01 07:07:02 Raw H2 11366 	Raw Ethanol 20368
2024-05-01 07:07:03 Raw H2 11371 	Raw Ethanol 20394
2024-05-01 07:07:04 Raw H2 11360 	Raw Ethanol 20408
2024-05-01 07:07:05 Raw H2 11366 	Raw Ethanol 20392
2024-05-01 07:07:06 Raw H2 11366 	Raw Ethanol 20421
2024-05-01 07:07:07 Raw H2 11366 	Raw Ethanol 20404
2024-05-01 07:07:08 Raw H2 11364 	Raw Ethanol 20444
2024-05-01 07:07:10 Raw H2 11366 	Raw Ethanol 20407
2024-05-01 07:07:11 Raw H2 11374 	Raw Ethanol 20402
2024-05-01 07:07:12 Raw H2 11369 	Raw Ethanol 20407
2024-05-01 07:07:13 Raw H2 11376 	Raw Ethanol 20431
2024-05-01 07:07:14 Raw H2 11365 	Raw Ethanol 20402
2024-05-01 07:07:15 Raw H2 11379 	Raw Ethanol 20415
2024-05-01 07:07:16 Raw H2 11361 	Raw Ethanol 20420
2024-05-01 07:07:17 Raw H2 11366 	Raw Ethanol 20449
2024-05-01 07:07:18 Raw H2 11376 	Raw Ethanol 20472
2024-05-01 07:07:19 Raw H2 11374 	Raw Ethanol 20475
2024-05-01 07:07:20 Raw H2 11375 	Raw Ethanol 20411
2024-05-01 07:07:21 Raw H2 11378 	Raw Ethanol 20449
2024-05-01 07:07:22 Raw H2 11369 	Raw Ethanol 20418
2024-05-01 07:07:23 Raw H2 11368 	Raw Ethanol 20429
2024-05-01 07:07:24 Raw H2 11376 	Raw Ethanol 20442
2024-05-01 07:07:25 Raw H2 11368 	Raw Ethanol 20398
2024-05-01 07:07:26 Raw H2 11376 	Raw Ethanol 20392
2024-05-01 07:07:27 Raw H2 11366 	Raw Ethanol 20405
2024-05-01 07:07:28 Raw H2 11381 	Raw Ethanol 20434
2024-05-01 07:07:29 Raw H2 11373 	Raw Ethanol 20407
2024-05-01 07:07:31 Raw H2 11372 	Raw Ethanol 20420
2024-05-01 07:07:32 Raw H2 11366 	Raw Ethanol 20398
2024-05-01 07:07:33 Raw H2 11361 	Raw Ethanol 20433
2024-05-01 07:07:34 Raw H2 11372 	Raw Ethanol 20427
2024-05-01 07:07:35 Raw H2 11363 	Raw Ethanol 20421
2024-05-01 07:07:36 Raw H2 11374 	Raw Ethanol 20445
2024-05-01 07:07:37 Raw H2 11374 	Raw Ethanol 20428
2024-05-01 07:07:38 Raw H2 11379 	Raw Ethanol 20439
2024-05-01 07:07:39 Raw H2 11374 	Raw Ethanol 20414
2024-05-01 07:07:40 Raw H2 11377 	Raw Ethanol 20391
2024-05-01 07:07:41 Raw H2 11381 	Raw Ethanol 20472
2024-05-01 07:07:42 Raw H2 11370 	Raw Ethanol 20460
2024-05-01 07:07:43 Raw H2 11369 	Raw Ethanol 20391
2024-05-01 07:07:44 Raw H2 11377 	Raw Ethanol 20392
2024-05-01 07:07:45 Raw H2 11379 	Raw Ethanol 20402
2024-05-01 07:07:46 Raw H2 11381 	Raw Ethanol 20426
2024-05-01 07:07:47 Raw H2 11369 	Raw Ethanol 20398
2024-05-01 07:07:48 Raw H2 11373 	Raw Ethanol 20368
2024-05-01 07:07:49 Raw H2 11369 	Raw Ethanol 20446
2024-05-01 07:07:50 Raw H2 11371 	Raw Ethanol 20415
2024-05-01 07:07:52 Raw H2 11367 	Raw Ethanol 20434
2024-05-01 07:07:53 Raw H2 11379 	Raw Ethanol 20417
2024-05-01 07:07:54 Raw H2 11384 	Raw Ethanol 20438
2024-05-01 07:07:55 Raw H2 11373 	Raw Ethanol 20443
2024-05-01 07:07:56 Raw H2 11378 	Raw Ethanol 20411
2024-05-01 07:07:57 Raw H2 11384 	Raw Ethanol 20462
2024-05-01 07:07:58 Raw H2 11382 	Raw Ethanol 20435
2024-05-01 07:07:59 Raw H2 11377 	Raw Ethanol 20428
2024-05-01 07:08:00 Raw H2 11377 	Raw Ethanol 20458
2024-05-01 07:08:01 Raw H2 11372 	Raw Ethanol 20399
2024-05-01 07:08:02 Raw H2 11387 	Raw Ethanol 20456
2024-05-01 07:08:03 Raw H2 11370 	Raw Ethanol 20386
2024-05-01 07:08:04 Raw H2 11378 	Raw Ethanol 20442
2024-05-01 07:08:05 Raw H2 11367 	Raw Ethanol 20441
2024-05-01 07:08:06 Raw H2 11375 	Raw Ethanol 20386
2024-05-01 07:08:07 Raw H2 11370 	Raw Ethanol 20457
2024-05-01 07:08:08 Raw H2 11368 	Raw Ethanol 20438
2024-05-01 07:08:09 Raw H2 11377 	Raw Ethanol 20420
2024-05-01 07:08:10 Raw H2 11379 	Raw Ethanol 20455
2024-05-01 07:08:11 Raw H2 11387 	Raw Ethanol 20452
2024-05-01 07:08:13 Raw H2 11374 	Raw Ethanol 20417
2024-05-01 07:08:14 Raw H2 11373 	Raw Ethanol 20402
2024-05-01 07:08:15 Raw H2 11382 	Raw Ethanol 20397
2024-05-01 07:08:16 Raw H2 11385 	Raw Ethanol 20447
2024-05-01 07:08:17 Raw H2 11374 	Raw Ethanol 20421
2024-05-01 07:08:18 Raw H2 11364 	Raw Ethanol 20458
2024-05-01 07:08:19 Raw H2 11369 	Raw Ethanol 20423
2024-05-01 07:08:20 Raw H2 11384 	Raw Ethanol 20407
2024-05-01 07:08:21 Raw H2 11361 	Raw Ethanol 20441
2024-05-01 07:08:22 Raw H2 11373 	Raw Ethanol 20393
2024-05-01 07:08:23 Raw H2 11372 	Raw Ethanol 20425
2024-05-01 07:08:24 Raw H2 11380 	Raw Ethanol 20456
2024-05-01 07:08:25 Raw H2 11374 	Raw Ethanol 20447
2024-05-01 07:08:26 Raw H2 11382 	Raw Ethanol 20419
2024-05-01 07:08:27 Raw H2 11365 	Raw Ethanol 20424
2024-05-01 07:08:28 Raw H2 11370 	Raw Ethanol 20464
2024-05-01 07:08:29 Raw H2 11379 	Raw Ethanol 20462
2024-05-01 07:08:30 Raw H2 11366 	Raw Ethanol 20425
2024-05-01 07:08:31 Raw H2 11373 	Raw Ethanol 20415
2024-05-01 07:08:32 Raw H2 11371 	Raw Ethanol 20398
2024-05-01 07:08:34 Raw H2 11367 	Raw Ethanol 20453
2024-05-01 07:08:35 Raw H2 11368 	Raw Ethanol 20415
2024-05-01 07:08:36 Raw H2 11366 	Raw Ethanol 20430
2024-05-01 07:08:37 Raw H2 11357 	Raw Ethanol 20440
2024-05-01 07:08:38 Raw H2 11365 	Raw Ethanol 20415
2024-05-01 07:08:39 Raw H2 11366 	Raw Ethanol 20402
2024-05-01 07:08:40 Raw H2 11379 	Raw Ethanol 20419
2024-05-01 07:08:41 Raw H2 11382 	Raw Ethanol 20408
2024-05-01 07:08:42 Raw H2 11365 	Raw Ethanol 20423
2024-05-01 07:08:43 Raw H2 11375 	Raw Ethanol 20401
2024-05-01 07:08:44 Raw H2 11370 	Raw Ethanol 20468
2024-05-01 07:08:45 Raw H2 11369 	Raw Ethanol 20475
2024-05-01 07:08:46 Raw H2 11380 	Raw Ethanol 20386
2024-05-01 07:08:47 Raw H2 11372 	Raw Ethanol 20398
2024-05-01 07:08:48 Raw H2 11383 	Raw Ethanol 20452
2024-05-01 07:08:49 Raw H2 11370 	Raw Ethanol 20416
2024-05-01 07:08:50 Raw H2 11371 	Raw Ethanol 20448
2024-05-01 07:08:51 Raw H2 11372 	Raw Ethanol 20477
2024-05-01 07:08:52 Raw H2 11382 	Raw Ethanol 20440
2024-05-01 07:08:53 Raw H2 11386 	Raw Ethanol 20444
2024-05-01 07:08:55 Raw H2 11373 	Raw Ethanol 20472
2024-05-01 07:08:56 Raw H2 11372 	Raw Ethanol 20411
2024-05-01 07:08:57 Raw H2 11378 	Raw Ethanol 20395
2024-05-01 07:08:58 Raw H2 11379 	Raw Ethanol 20418
2024-05-01 07:08:59 Raw H2 11377 	Raw Ethanol 20406
2024-05-01 07:09:00 Raw H2 11377 	Raw Ethanol 20435
