
Start Log	Run: 616	Date: 5/31/2021   Time: 8:22:45
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
1046.563, 0, -5.83, 5986610.09, 
1051.571, -0.1, -5.77, 5986610.09, 
1056.579, 0, -5.74, 5986610.12, 
1061.602, 0, -5.83, 5986610.07, 
1066.625, 0, -5.89, 5986610.12, 
1071.602, 0, -5.83, 5986610.09, 
1076.609, 0.1, -5.71, 5986610.08, 
1081.617, 0, -5.59, 5986610.02, 
1086.624, -0.1, -5.34, 5986610.03, 
1091.648, 0.1, -5.31, 5986610.06, 
1096.64, 0, -5.3, 5986610.01, 
1101.663, -0.1, -5.23, 5986610.03, 
1106.655, 0.1, -5.15, 5986610.03, 
1111.663, 0, -5.12, 5986610.02, 
1116.67, 0, -5.1, 5986610.02, 
1121.678, 0, -5, 5986610.01, 
1126.686, 0, -4.9, 5986609.97, 
1131.709, 0, -4.84, 5986609.98, 
1136.716, 0, -4.74, 5986609.98, 
1141.708, 0, -4.55, 5986609.97, 
1146.716, 0.1, -4.44, 5986609.95, 
1151.724, 0.1, -4.35, 5986609.97, 
1156.731, -0.1, -4.2, 5986609.97, 
1161.739, 0, -3.96, 5986609.97, 
1166.762, 0, -3.93, 5986609.92, 
1171.754, 0, -3.74, 5986609.91, 
1176.762, -0.1, -3.69, 5986609.9, 
1181.77, 0.1, -3.45, 5986609.92, 
1186.777, 0, -3.36, 5986609.9, 
1191.785, 0.1, -3.23, 5986609.85, 
1196.792, -0.1, -3.09, 5986609.87, 
1201.816, 0.1, -2.9, 5986609.85, 
1206.823, 0, -2.75, 5986609.83, 
1211.815, 0, -2.67, 5986609.8, 
1216.823, 0, -2.56, 5986609.82, 
1221.831, 0, -2.3, 5986609.79, 
1226.838, 0.1, -2.23, 5986609.8, 
1231.846, 0.1, -2.06, 5986609.75, 
1236.853, 0, -1.98, 5986609.75, 
1241.861, 0, -1.77, 5986609.79, 
1246.869, 0, -1.57, 5986609.76, 
1251.876, 0, -1.48, 5986609.75, 
1256.884, 0, -1.41, 5986609.71, 
1261.892, 0, -1.21, 5986609.72, 
1266.899, -0.1, -1.06, 5986609.68, 
1271.938, 0.1, -0.9, 5986609.65, 
1276.93, 0, -0.8, 5986609.66, 
1281.922, 0, -0.65, 5986609.63, 
1286.93, 0, -0.42, 5986609.66, 
1291.937, 0, -0.34, 5986609.63, 
1296.945, 0.2, -0.22, 5986609.62, 
1301.953, 0, -0.07, 5986609.6, 
1306.976, 0, 0.09, 5986609.62, 
1311.984, 0, 0.25, 5986609.6, 
1316.976, 0, 0.32, 5986609.57, 
1321.983, 0.1, 0.41, 5986609.59, 
1326.991, 0, 0.59, 5986609.6, 
1331.998, 0, 0.75, 5986609.54, 
1337.006, 0, 0.89, 5986609.5, 
1342.029, 0.1, 0.99, 5986609.51, 
1347.037, 0.1, 1.01, 5986609.54, 
1352.029, -0.1, 1.18, 5986609.5, 
1357.037, 0.1, 1.26, 5986609.51, 
1362.044, 0, 1.4, 5986609.46, 
1367.052, 0.1, 1.54, 5986609.49, 
1372.06, -0.1, 1.72, 5986609.45, 
1377.083, 0.2, 1.97, 5986609.47, 
1382.09, 0, 1.99, 5986609.44, 
1387.082, 0, 2.02, 5986609.39, 
1392.09, 0, 2.26, 5986609.44, 
1397.098, 0.2, 2.38, 5986609.41, 
1402.105, 0, 2.43, 5986609.41, 
1407.113, -0.1, 2.5, 5986609.45, 
1412.136, 0, 2.48, 5986609.4, 
1417.128, -0.1, 2.46, 5986609.37, 
1422.136, 0, 2.51, 5986609.42, 
1427.143, 0, 2.4, 5986609.41, 
1432.151, 0.2, 2.59, 5986609.38, 
1437.159, 0, 2.95, 5986609.37, 
1442.182, 0.1, 3.17, 5986609.35, 
1447.19, 0.1, 3.31, 5986609.37, 
1452.197, 0, 3.43, 5986609.34, 
1457.189, -0.1, 3.59, 5986609.32, 
1462.197, 0.1, 3.64, 5986609.34, 
1467.205, 0, 3.58, 5986609.34, 
1472.212, -0.1, 3.67, 5986609.31, 
